Distance,Side,Temperature,Humidity,Pressure,Visibility,Wind_Direction,Wind_Speed,Precipitation,Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,highway,oneway,lanes,maxspeed,sev_cat
0.0,R,57.0,69.0,30.21,10.0,SE,6.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major above 250
0.0,R,52.0,89.0,29.7,10.0,CALM,0.0,0.0,Fair,False,False,Day,secondary,False,2,45,Major above 250
0.0,R,52.0,89.0,29.7,10.0,CALM,0.0,0.0,Fair,False,False,Day,secondary,True,2,35,Major 75 to 125
0.0,L,25.0,81.0,29.88,2.0,N,17.3,0.0,Snow,False,False,Night,residential,False,2,25,Major above 250
0.0,L,17.1,68.0,30.27,9.0,N,18.4,0.0,Snow,False,False,Day,residential,False,2,25,Major above 250
1.5499999523199999,R,71.0,44.0,29.77,10.0,W,10.0,0.0,Cloudy,False,False,Day,unclassified,False,2,25,Major below 75
1.5499999523199999,R,71.0,44.0,29.77,10.0,W,10.0,0.0,Cloudy,False,False,Day,primary,False,2,30,Major below 75
0.600000023842,R,82.0,74.0,29.91,10.0,NW,5.0,0.01,Rain,False,False,Day,unclassified,False,2,25,Major below 75
0.600000023842,R,82.0,74.0,29.91,10.0,NW,5.0,0.01,Rain,False,False,Day,primary,False,2,30,Major below 75
0.41999998688699997,R,55.0,86.0,30.08,7.0,NW,8.0,0.01,Cloudy,False,False,Day,unclassified,False,2,25,Major below 75
0.41999998688699997,R,55.0,86.0,30.08,7.0,NW,8.0,0.01,Cloudy,False,False,Day,primary,False,2,30,Major below 75
1.5499999523199999,R,58.0,65.0,30.15,10.0,NW,5.0,0.0,Fair,False,False,Day,unclassified,False,2,25,Major below 75
1.5499999523199999,R,58.0,65.0,30.15,10.0,NW,5.0,0.0,Fair,False,False,Day,primary,False,2,30,Major below 75
0.0,L,73.0,49.0,29.61,10.0,CALM,0.0,0.0,Fair,False,True,Day,tertiary,False,2,35,Major above 250
0.028,R,74.0,85.0,29.13,10.0,CALM,0.0,0.0,Fair,True,True,Day,tertiary,False,2,35,Major above 250
0.381,R,73.0,76.0,29.31,10.0,SE,10.0,0.0,Cloudy,True,True,Day,tertiary,False,2,35,Major above 250
0.0,R,46.0,96.0,29.68,1.8,SW,3.5,0.01,Cloudy,False,False,Day,residential,False,2,55,Major above 250
0.0,R,46.0,96.0,29.68,1.8,SW,3.5,0.01,Cloudy,False,False,Day,tertiary,False,2,25,Major below 75
0.0,L,34.0,93.0,30.04,2.0,N,3.0,0.06,Snow,False,False,Night,motorway,True,3,35,Major above 250
0.0,L,34.0,93.0,30.04,2.0,N,3.0,0.06,Snow,False,False,Night,tertiary,False,5,40,Major below 75
0.0,R,70.0,39.0,30.3,10.0,NE,15.0,0.0,Cloudy,False,False,Day,motorway,True,3,35,Major above 250
0.0,R,70.0,39.0,30.3,10.0,NE,15.0,0.0,Cloudy,False,False,Day,tertiary,False,5,40,Major below 75
4.09999990463,R,82.0,56.0,29.79,10.0,SW,16.0,0.0,Cloudy,False,False,Day,motorway,True,3,35,Major above 250
4.09999990463,R,82.0,56.0,29.79,10.0,SW,16.0,0.0,Cloudy,False,False,Day,tertiary,False,5,40,Major below 75
0.289999991655,L,34.0,96.0,29.6,2.5,NW,11.5,0.08,Snow,False,False,Night,motorway,True,3,35,Major above 250
0.289999991655,L,34.0,96.0,29.6,2.5,NW,11.5,0.08,Snow,False,False,Night,tertiary,False,5,40,Major below 75
0.01,R,39.9,100.0,29.64,4.0,NE,9.2,0.0,Cloudy,False,False,Night,secondary,False,3,35,Major 125 to 250
0.01,R,39.9,97.0,30.22,8.0,W,6.9,0.0,Cloudy,False,False,Night,secondary,False,3,35,Major 125 to 250
0.01,R,41.0,93.0,29.71,8.0,N,12.7,0.0,Cloudy,False,False,Day,secondary,False,3,35,Major 125 to 250
0.119999997318,L,36.0,64.0,25.57,10.0,SW,6.0,0.0,Fair,False,False,Day,secondary,False,3,35,Major 125 to 250
2.83999991417,R,73.0,51.0,29.03,10.0,S,6.0,0.0,Fair,False,False,Day,secondary,False,3,35,Major 125 to 250
0.545,R,81.0,60.0,29.79,10.0,N,8.0,0.0,Cloudy,False,False,Day,secondary,False,3,35,Major 125 to 250
